game_id,opponent,segment,predicted_revenue,sellout_probability,priority,recommendation
1,PHX,Inventory Risk,2660585987.6999636,1.0,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment. Consider dynamic pricing.
2,NYK,Premium Demand,4415297574.4070215,1.0,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment. Consider dynamic pricing.
3,OKC,Inventory Risk,2613426190.7945166,1.0,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment. Consider dynamic pricing.
4,SAC,Premium Demand,3460253463.1554565,1.0,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment. Consider dynamic pricing.
5,DAL,Premium Demand,3582003298.65851,1.0,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment. Consider dynamic pricing.
6,PHX,Premium Demand,3804727957.3737125,1.0,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment. Consider dynamic pricing.
7,MIL,Inventory Risk,2623921117.4029894,1.0,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment. Consider dynamic pricing.
8,BOS,Premium Demand,3601864318.4511623,1.0,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment. Consider dynamic pricing.
9,PHX,Premium Demand,4028862938.7274,1.0,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment. Consider dynamic pricing.
10,OKC,Inventory Risk,2754318112.6498585,1.0,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment. Consider dynamic pricing.
11,OKC,Premium Demand,3776085634.243189,1.0,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment. Consider dynamic pricing.
12,SAC,Inventory Risk,2498813618.3187885,1.0,Medium,Increase marketing spend and improve checkout conversion. Investigate checkout abandonment. Consider dynamic pricing.
13,DAL,Premium Demand,4302056805.051661,1.0,High,Increase premium seating prices 5-10% and release additional premium inventory. Investigate checkout abandonment. Consider dynamic pricing.
