customer_id,age_group,income_bracket,zip_code,season_ticket_holder
1,25-34,<$50K,90008,0
2,18-24,<$50K,90008,0
3,25-34,$150K+,90401,0
4,25-34,$50K-$99K,90401,0
5,35-44,$50K-$99K,90003,0
6,35-44,$50K-$99K,90001,0
7,45-54,$100K-$149K,90001,0
8,18-24,$50K-$99K,90001,0
9,25-34,$100K-$149K,90008,0
10,25-34,$50K-$99K,90001,0
11,45-54,<$50K,90401,0
12,25-34,$50K-$99K,90401,0
13,25-34,<$50K,90802,0
14,35-44,$150K+,90015,0
15,18-24,<$50K,90401,1
16,45-54,$100K-$149K,90301,0
17,25-34,$50K-$99K,90015,1
18,25-34,$100K-$149K,90001,0
19,55+,<$50K,90008,0
20,35-44,$150K+,90401,0
21,25-34,<$50K,90401,0
22,35-44,$100K-$149K,90003,0
23,35-44,$50K-$99K,90301,0
24,55+,$50K-$99K,90001,0
25,45-54,$50K-$99K,90015,0
26,45-54,$100K-$149K,90301,0
27,35-44,<$50K,90015,0
28,35-44,$100K-$149K,90015,0
29,55+,$50K-$99K,90301,0
30,35-44,$150K+,90001,0
31,25-34,$100K-$149K,90045,0
32,25-34,<$50K,90210,0
33,18-24,$50K-$99K,90301,0
34,18-24,<$50K,90301,0
35,25-34,$50K-$99K,90301,0
36,25-34,$50K-$99K,90003,0
37,25-34,$150K+,90210,0
38,18-24,$100K-$149K,90802,1
39,25-34,<$50K,90301,0
40,35-44,$50K-$99K,90301,0
41,45-54,<$50K,90003,0
42,35-44,$50K-$99K,90301,0
43,55+,<$50K,90802,0
44,35-44,$100K-$149K,90008,0
45,55+,$150K+,90003,0
46,45-54,<$50K,90210,0
47,25-34,$50K-$99K,90003,0
48,18-24,<$50K,90001,0
49,25-34,$150K+,90015,0
50,35-44,<$50K,90802,0
51,35-44,$50K-$99K,90008,0
52,35-44,$150K+,90008,0
53,25-34,<$50K,90210,0
54,35-44,$50K-$99K,90210,0
55,25-34,<$50K,90401,0
56,55+,$100K-$149K,90210,0
57,45-54,$50K-$99K,90401,0
58,35-44,$150K+,90401,0
59,25-34,$150K+,90301,0
60,25-34,$100K-$149K,90045,0
61,18-24,$50K-$99K,90015,0
62,35-44,$100K-$149K,90001,0
63,18-24,<$50K,90210,0
64,25-34,$50K-$99K,90401,0
65,25-34,<$50K,90015,0
66,45-54,$100K-$149K,90301,0
67,25-34,$100K-$149K,90008,0
68,35-44,$150K+,90045,0
69,35-44,$100K-$149K,90301,0
70,18-24,$100K-$149K,90802,0
71,35-44,$150K+,90802,1
72,35-44,$150K+,90301,0
73,25-34,$50K-$99K,90015,0
74,55+,<$50K,90210,0
75,35-44,$50K-$99K,90015,0
76,35-44,$50K-$99K,90008,0
77,45-54,$100K-$149K,90802,0
78,35-44,$150K+,90045,0
79,25-34,$150K+,90401,0
80,18-24,$50K-$99K,90008,0
81,25-34,<$50K,90802,0
82,25-34,<$50K,90001,0
83,25-34,<$50K,90003,0
84,45-54,$50K-$99K,90015,0
85,25-34,$150K+,90003,0
86,18-24,$50K-$99K,90802,0
87,25-34,$50K-$99K,90301,0
88,55+,<$50K,90003,0
89,25-34,$50K-$99K,90015,1
90,35-44,$150K+,90210,0
91,18-24,$100K-$149K,90003,0
92,25-34,<$50K,90802,0
93,25-34,$150K+,90008,0
94,18-24,$50K-$99K,90003,0
95,35-44,$100K-$149K,90015,0
96,25-34,<$50K,90045,0
97,35-44,$100K-$149K,90015,0
98,25-34,<$50K,90008,0
99,25-34,$100K-$149K,90008,0
100,18-24,$100K-$149K,90008,0
101,25-34,<$50K,90008,0
102,35-44,$150K+,90210,0
103,25-34,<$50K,90015,0
104,18-24,$150K+,90301,0
105,25-34,$50K-$99K,90301,0
106,25-34,$100K-$149K,90015,0
107,35-44,$100K-$149K,90001,0
108,35-44,<$50K,90802,0
109,18-24,$50K-$99K,90301,1
110,55+,$50K-$99K,90210,0
111,25-34,$100K-$149K,90045,0
112,55+,$150K+,90802,0
113,25-34,<$50K,90802,0
114,18-24,$50K-$99K,90210,0
115,25-34,$100K-$149K,90401,1
116,35-44,$50K-$99K,90301,0
117,35-44,$150K+,90001,1
118,35-44,<$50K,90003,0
119,25-34,$50K-$99K,90802,0
120,35-44,$100K-$149K,90015,0
121,35-44,<$50K,90008,0
122,18-24,$100K-$149K,90003,0
123,25-34,<$50K,90401,0
124,25-34,$50K-$99K,90301,0
125,45-54,$100K-$149K,90802,1
126,25-34,$50K-$99K,90008,0
127,55+,<$50K,90001,0
128,25-34,$150K+,90802,0
129,45-54,$150K+,90045,0
130,45-54,$150K+,90045,0
131,18-24,$150K+,90008,0
132,35-44,<$50K,90401,0
133,35-44,<$50K,90401,0
134,45-54,<$50K,90001,0
135,25-34,$150K+,90015,0
136,25-34,$100K-$149K,90210,0
137,35-44,$100K-$149K,90802,0
138,45-54,$150K+,90003,0
139,25-34,$50K-$99K,90301,0
