session_id,game_id,device,source,viewed_ticket_page,added_to_cart,checkout_started,purchased
1,1,Mobile,Paid Search,1,0,0,0
2,1,Mobile,Paid Search,1,1,1,1
3,1,Tablet,Email,1,0,0,0
4,1,Desktop,Email,1,0,0,0
5,1,Mobile,Email,1,0,0,0
6,1,Mobile,Organic,1,0,0,0
7,1,Desktop,Paid Search,1,0,0,0
8,1,Mobile,Email,1,0,0,0
9,1,Mobile,Paid Search,1,0,0,0
10,1,Mobile,Social,1,0,0,0
11,1,Desktop,Paid Search,1,1,1,1
12,1,Mobile,Email,1,0,0,0
13,1,Mobile,Organic,1,0,0,0
14,1,Desktop,Paid Search,1,1,1,1
15,1,Desktop,Direct,1,0,0,0
16,1,Desktop,Social,1,0,0,0
17,1,Desktop,Organic,1,0,0,0
18,1,Mobile,Organic,1,1,1,1
19,1,Mobile,Organic,1,1,1,1
20,1,Desktop,Organic,1,0,0,0
21,1,Mobile,Email,1,0,0,0
22,1,Mobile,Direct,1,0,0,0
23,1,Tablet,Organic,1,1,0,0
24,1,Mobile,Email,1,1,1,1
25,1,Desktop,Organic,1,1,1,1
26,1,Mobile,Paid Search,1,0,0,0
27,1,Desktop,Social,1,1,1,0
28,1,Mobile,Social,1,0,0,0
29,1,Mobile,Paid Search,1,1,1,1
30,1,Desktop,Social,1,1,1,1
31,1,Mobile,Paid Search,1,1,1,1
32,1,Desktop,Email,1,0,0,0
33,1,Mobile,Paid Search,1,0,0,0
34,1,Tablet,Social,1,0,0,0
35,1,Mobile,Direct,1,0,0,0
36,1,Mobile,Email,1,0,0,0
37,1,Mobile,Email,1,1,0,0
38,1,Mobile,Paid Search,1,0,0,0
39,1,Desktop,Social,1,0,0,0
40,1,Mobile,Organic,1,0,0,0
41,1,Desktop,Social,1,0,0,0
42,1,Desktop,Direct,1,0,0,0
43,1,Mobile,Paid Search,1,1,0,0
44,1,Mobile,Paid Search,1,1,1,1
45,1,Desktop,Paid Search,1,0,0,0
46,1,Mobile,Email,1,1,1,0
47,1,Mobile,Social,1,0,0,0
48,1,Mobile,Email,1,0,0,0
49,1,Mobile,Social,1,0,0,0
50,1,Desktop,Social,1,0,0,0
51,1,Desktop,Direct,1,0,0,0
52,1,Desktop,Organic,1,0,0,0
53,1,Tablet,Paid Search,1,1,1,1
54,1,Desktop,Email,1,0,0,0
55,1,Desktop,Organic,1,0,0,0
56,1,Mobile,Direct,1,0,0,0
57,1,Tablet,Social,1,0,0,0
58,1,Mobile,Email,1,0,0,0
59,1,Desktop,Paid Search,1,0,0,0
60,1,Mobile,Organic,1,0,0,0
61,1,Tablet,Email,1,0,0,0
62,1,Mobile,Email,1,0,0,0
63,1,Mobile,Social,1,1,1,0
64,1,Mobile,Social,1,0,0,0
65,1,Mobile,Social,1,1,0,0
66,1,Desktop,Paid Search,1,0,0,0
67,1,Desktop,Social,1,0,0,0
68,1,Mobile,Social,1,1,1,0
69,1,Desktop,Direct,1,0,0,0
70,1,Desktop,Paid Search,1,1,1,1
71,1,Tablet,Paid Search,1,0,0,0
72,1,Desktop,Organic,1,1,0,0
73,1,Mobile,Email,1,0,0,0
74,1,Desktop,Social,1,0,0,0
75,1,Mobile,Email,1,1,1,1
76,1,Mobile,Paid Search,1,1,1,1
77,1,Desktop,Email,1,1,0,0
78,1,Mobile,Organic,1,1,1,1
79,1,Mobile,Email,1,0,0,0
80,1,Mobile,Email,1,1,1,1
81,1,Desktop,Paid Search,1,1,1,1
82,1,Mobile,Organic,1,1,0,0
83,1,Desktop,Paid Search,1,0,0,0
84,1,Desktop,Email,1,0,0,0
85,1,Tablet,Paid Search,1,1,0,0
86,1,Desktop,Organic,1,0,0,0
87,1,Mobile,Paid Search,1,0,0,0
88,1,Desktop,Paid Search,1,1,1,1
89,1,Desktop,Paid Search,1,0,0,0
90,1,Mobile,Email,1,0,0,0
91,1,Desktop,Paid Search,1,0,0,0
92,1,Mobile,Paid Search,1,0,0,0
93,1,Desktop,Direct,1,0,0,0
94,1,Tablet,Direct,1,0,0,0
95,1,Tablet,Organic,1,1,0,0
96,1,Tablet,Email,1,0,0,0
97,1,Mobile,Organic,1,0,0,0
98,1,Desktop,Email,1,1,0,0
99,1,Desktop,Social,1,0,0,0
100,1,Mobile,Paid Search,1,1,1,1
101,1,Mobile,Direct,1,0,0,0
102,1,Desktop,Paid Search,1,1,1,1
103,1,Mobile,Paid Search,1,0,0,0
104,1,Mobile,Email,1,1,1,1
105,1,Mobile,Organic,1,0,0,0
106,1,Desktop,Direct,1,0,0,0
107,1,Desktop,Email,1,1,1,1
108,1,Mobile,Organic,1,1,1,1
109,1,Tablet,Organic,1,1,1,1
110,1,Desktop,Email,1,1,0,0
111,1,Desktop,Direct,1,0,0,0
112,1,Tablet,Paid Search,1,0,0,0
113,1,Mobile,Organic,1,1,1,1
114,1,Mobile,Email,1,0,0,0
115,1,Mobile,Social,1,1,0,0
116,1,Desktop,Organic,1,0,0,0
117,1,Desktop,Organic,1,0,0,0
118,1,Desktop,Organic,1,0,0,0
119,1,Mobile,Organic,1,0,0,0
120,1,Desktop,Social,1,1,1,1
121,1,Desktop,Paid Search,1,0,0,0
122,1,Tablet,Direct,1,1,1,0
123,1,Mobile,Social,1,0,0,0
124,1,Desktop,Paid Search,1,1,1,1
125,1,Mobile,Organic,1,1,1,1
126,1,Mobile,Paid Search,1,0,0,0
127,1,Desktop,Social,1,1,1,1
128,1,Desktop,Organic,1,1,1,1
129,1,Mobile,Email,1,1,0,0
130,1,Mobile,Paid Search,1,0,0,0
131,1,Desktop,Paid Search,1,0,0,0
132,1,Desktop,Social,1,1,0,0
133,1,Mobile,Email,1,1,1,1
134,1,Mobile,Email,1,0,0,0
135,1,Desktop,Email,1,0,0,0
136,1,Desktop,Paid Search,1,1,1,1
137,1,Mobile,Social,1,0,0,0
138,1,Mobile,Paid Search,1,1,1,1
139,1,Desktop,Social,1,1,1,1
140,1,Mobile,Paid Search,1,0,0,0
141,1,Desktop,Paid Search,1,1,1,1
142,1,Mobile,Paid Search,1,0,0,0
143,1,Desktop,Direct,1,1,1,1
144,1,Desktop,Paid Search,1,0,0,0
145,1,Mobile,Organic,1,1,1,1
146,1,Mobile,Paid Search,1,0,0,0
147,1,Mobile,Paid Search,1,1,1,1
148,1,Desktop,Social,1,1,1,0
149,1,Mobile,Email,1,0,0,0
150,1,Mobile,Social,1,1,1,1
151,1,Mobile,Organic,1,1,1,1
152,1,Mobile,Paid Search,1,0,0,0
153,1,Mobile,Email,1,1,0,0
154,1,Desktop,Social,1,0,0,0
155,1,Desktop,Social,1,1,1,1
156,1,Desktop,Email,1,1,1,1
157,1,Mobile,Social,1,0,0,0
158,1,Mobile,Organic,1,0,0,0
159,1,Mobile,Paid Search,1,1,1,1
160,1,Mobile,Social,1,0,0,0
161,1,Desktop,Paid Search,1,0,0,0
162,1,Desktop,Organic,1,1,0,0
163,1,Mobile,Paid Search,1,0,0,0
164,1,Mobile,Social,1,1,0,0
165,1,Mobile,Social,1,1,1,1
166,1,Desktop,Organic,1,0,0,0
167,1,Mobile,Email,1,1,1,0
168,1,Desktop,Direct,1,0,0,0
169,1,Mobile,Social,1,0,0,0
170,1,Mobile,Paid Search,1,1,1,1
171,1,Desktop,Direct,1,1,1,1
172,1,Desktop,Organic,1,1,1,1
173,1,Mobile,Social,1,0,0,0
174,1,Mobile,Email,1,0,0,0
175,1,Desktop,Email,1,1,0,0
176,1,Tablet,Social,1,0,0,0
177,1,Mobile,Email,1,0,0,0
178,1,Mobile,Email,1,0,0,0
179,1,Desktop,Email,1,1,1,1
180,1,Mobile,Paid Search,1,1,1,1
181,1,Desktop,Social,1,0,0,0
182,1,Mobile,Paid Search,1,1,0,0
183,1,Desktop,Paid Search,1,0,0,0
184,1,Mobile,Paid Search,1,1,0,0
185,1,Mobile,Organic,1,1,1,1
186,1,Desktop,Direct,1,0,0,0
187,1,Desktop,Direct,1,0,0,0
188,1,Mobile,Email,1,0,0,0
189,1,Mobile,Paid Search,1,0,0,0
190,1,Mobile,Direct,1,0,0,0
191,1,Desktop,Social,1,0,0,0
192,1,Mobile,Paid Search,1,1,1,1
193,1,Desktop,Social,1,0,0,0
194,1,Mobile,Paid Search,1,0,0,0
195,1,Desktop,Email,1,1,0,0
196,1,Mobile,Social,1,1,0,0
197,1,Mobile,Social,1,0,0,0
198,1,Tablet,Organic,1,1,1,1
199,1,Mobile,Paid Search,1,0,0,0
200,1,Desktop,Social,1,0,0,0
201,1,Desktop,Paid Search,1,1,1,1
202,1,Desktop,Social,1,0,0,0
203,1,Desktop,Social,1,1,1,0
204,1,Desktop,Social,1,0,0,0
205,1,Desktop,Paid Search,1,1,1,1
206,1,Mobile,Social,1,1,1,1
207,1,Desktop,Social,1,0,0,0
208,1,Desktop,Email,1,0,0,0
209,1,Mobile,Direct,1,0,0,0
210,1,Mobile,Social,1,0,0,0
211,1,Desktop,Email,1,1,1,1
212,1,Desktop,Social,1,1,1,0
213,1,Desktop,Email,1,1,1,1
214,1,Desktop,Direct,1,1,1,1
215,1,Tablet,Email,1,0,0,0
216,1,Desktop,Social,1,0,0,0
217,1,Tablet,Email,1,0,0,0
218,1,Mobile,Paid Search,1,0,0,0
219,1,Desktop,Organic,1,1,1,0
220,1,Mobile,Organic,1,1,1,1
221,1,Desktop,Email,1,0,0,0
222,1,Desktop,Email,1,1,1,1
223,1,Mobile,Paid Search,1,0,0,0
224,1,Mobile,Email,1,1,1,1
225,1,Mobile,Social,1,1,0,0
226,1,Mobile,Direct,1,0,0,0
227,1,Mobile,Social,1,0,0,0
228,1,Tablet,Email,1,0,0,0
229,1,Mobile,Paid Search,1,1,1,1
230,1,Desktop,Organic,1,0,0,0
231,1,Desktop,Paid Search,1,0,0,0
232,1,Tablet,Email,1,0,0,0
233,1,Desktop,Social,1,1,1,0
234,1,Mobile,Paid Search,1,0,0,0
235,1,Desktop,Paid Search,1,1,0,0
236,1,Mobile,Social,1,0,0,0
237,1,Desktop,Paid Search,1,1,0,0
238,1,Tablet,Email,1,0,0,0
